Id,Obj. Name,IAUName,Cross References,RA,DEC,Type,Redshift,HostName,Obj.Program,Public,No. of publicSpectra,Photometry,Remarks,Created By,LastModified,Modified By
21527,SN2018bdv,SN2018bdv,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,11:48:04.24,+30:21:36.22,SN IIP,0.0216,,,Y,,,"[TNS Source Group: GaiaAlerts; Reporter/s: A. Delgado, D. Harri...]",upload-TNS,2018-05-01,upload-TNS
21484,SN2018blb,SN2018blb,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,14:54:23.71,+73:10:41.97,SN IIP,0.023,,,Y,,,"[TNS Source Group: ATLAS; Reporter/s: J. Tonry, B. Stalder...]",upload-TNS,2018-05-14,upload-TNS
21482,SN2018cho,SN2018cho,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,00:13:26.52,+17:29:19.57,SN IIP,,,,Y,1,,"[TNS Source Group: GaiaAlerts; Reporter/s: A. Delgado, D. Harri...]",upload-TNS,2018-06-08,upload-TNS
21481,SN2018cgq,SN2018cgq,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,00:54:02.54,+47:10:50.56,SN IIP,,,,Y,1,,"[TNS Source Group: GaiaAlerts; Reporter/s: A. Delgado, D. Harri...]",upload-TNS,2018-06-07,upload-TNS
21359,SN2018ass,SN2018ass,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,21:10:19.02,-29:31:22.40,SN IIP,0.018516,,,Y,1,,"[TNS Source Group: GaiaAlerts; Reporter/s: A. Delgado, D. Harri...]",upload-TNS,2018-04-10,upload-TNS
21191,SN2018aql,SN2018aql,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,16:57:04.96,+39:22:54.10,SN IIP,0.074,SDSS J165705.00+392253.8,,Y,1,,"[TNS Source Group: TNTS; Reporter/s: Zhijian Xu,Zhitong L...]",upload-TNS,2018-04-07,upload-TNS
21116,SN2018ahe,SN2018ahe,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,14:57:09.50,+19:42:00.00,SN IIP,,UGC 9620,,Y,1,,[TNS Source Group: SNHunt; Reporter/s: Nikolay Mishevskiy w...],upload-TNS,2018-03-17,upload-TNS
21114,SN2018acj,SN2018acj,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,13:48:40.63,+43:25:04.70,SN IIP,,PGC 48989,,Y,2,,"[TNS Source Group: XOSS; Reporter/s: Jianlin Xu, Mi Zhang...]",upload-TNS,2018-03-09,upload-TNS
21095,SN2018yo,SN2018yo,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,12:41:11.14,-01:35:20.40,SN IIP,0.013,UGC 7840,,Y,1,,[TNS Source Group: SNHunt; Reporter/s: Nikolay Mishevskiy o...],upload-TNS,2018-02-26,upload-TNS
21064,SN2018rz,SN2018rz,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,14:27:11.44,-02:16:10.07,SN IIP,0.02,NGC5618,,Y,1,,[TNS Source Group: ISSP; Reporter/s: Simone Leonini...],upload-TNS,2018-02-12,upload-TNS
Due to the data size, only 10 items are given here. 
