Id,Obj. Name,IAUName,Cross References,RA,DEC,Type,Redshift,HostName,Obj.Program,Public,No. of publicSpectra,Photometry,Remarks,Created By,LastModified,Modified By
21414,SN2018bsg,,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,10:10:28.10,+02:13:49.80,SN IIb,0.0217,,ePESSTO,Y,1,,,nikola-UploadSet,2018-05-20,nikola-UploadSet
21358,SN2018arx,SN2018arx,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,14:06:35.06,-32:34:43.00,SN IIb,0.033853,ESO 446- G 008,,Y,1,,"[TNS Source Group: ASAS-SN; Reporter/s: K. Z. Stanek, for th...]",upload-TNS,2018-04-09,upload-TNS
21069,SN2018mc,SN2018mc,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,18:01:01.06,+61:41:45.02,SN IIb,0.035,,,Y,1,,"[TNS Source Group: ASAS-SN; Reporter/s: K. Z. Stanek, for th...]",upload-TNS,2018-01-30,upload-TNS
21053,SN2018ow,SN2018ow,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,02:51:04.41,+09:06:44.32,SN IIb,0.01,,,Y,1,,"[TNS Source Group: Pan-STARRS1; Reporter/s: K. C. Chambers, M. E...]",upload-TNS,2018-02-04,upload-TNS
20842,SN2018gj,SN2018gj,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,16:32:02.40,+78:12:41.13,SN IIb,0.004556,NGC 6217,,Y,2,,[TNS Source Group: NA; Reporter/s: Patrick Wiggins...],upload-TNS,2018-01-14,upload-TNS
20796,SN2017jdn,SN2017jdn,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,10:23:45.51,+53:06:20.50,SN IIb,0.0317,UGC5615,,Y,1,,"[TNS Source Group: ISSP; Reporter/s: F. Ciabattari, E. Ma...]",upload-TNS,2017-12-24,upload-TNS
20781,SN2017iyd,,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,11:46:25.40,+01:59:33.18,SN IIb,0.0285,,ePESSTO,Y,1,,,ofer-UploadSet,2017-12-26,ofer
20778,SN2017ixz,SN2017ixz,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,07:47:03.03,+26:46:25.77,SN IIb,0.024,,,Y,1,,"[TNS Source Group: ATLAS; Reporter/s: J. Tonry, B. Stalder...]",upload-TNS,2017-12-18,upload-TNS
20775,SN2017jbl,SN2017jbl,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,03:33:12.73,+36:11:24.60,SN IIb,0.015054,UGC 2780,,Y,1,,"[TNS Source Group: POSS; Reporter/s: R. Gagliano, R. Post...]",upload-TNS,2017-12-21,upload-TNS
20631,SN2017hyh,SN2017hyh,Coord. X-Refs »  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,07:10:41.07,+06:27:41.40,SN IIb,0.012,,ePESSTO,Y,1,,,nikola-UploadSet,2017-11-14,ofer
Due to the data size, only 10 items are given here. 
