Id,Obj. Name,Type,Spec.Program,Instrument,Obs. Date,Observer,Red. Date,Reducer,Exp.Time,Slit,Public,Ascii FileFits File,Spec Type,Quality,Remarks,Created By,LastModified,Modified By,Download,New-Name
45865,SN2018cwa,SN II,,FTN - FLOYDS-N,2018/6/28,Las Cumbres Observatory,2018/6/28,Jamison Burke,3600,0,Y,tns_2018cwa_2018-06-28_06-07-08_FTN_FLOYDS-N_Global_SN_Project.ascii  tns_2018cwa_2018-06-28_06-07-08_FTN_FLOYDS-N_Global_SN_Project.fits,Object,,"[TNS Source Group: ATLAS; Classifier/s: Jamison Burke, Daich...]",upload-TNS,2018/6/29,upload-TNS,1,0
45845,SN2018cur,SN II,,Bok - B&C-Bok,2018/6/25,"Jennifer Andres, Samuel Wyatt",2018/6/25,Jennifer Andrews,300,0,Y,tns_2018cur_2458294.7_Bok_B&C-Bok_AZTEC.ascii  tns_2018cur_2458294.7_Bok_B&C-Bok_AZTEC.fits,Object,,[TNS Source Group: ATLAS; Classifier/s: David Sand (Universi...],upload-TNS,2018/6/26,upload-TNS,1,0
45844,SN2018cuf,SN II,,SALT - RSS,2018/6/24,I. Monageng,2018/6/24,S. W. Jha,1932.82,0,Y,tns_2018cuf_2458294.49695602_SALT_RSS.flm  tns_2018cuf_2458294.49695602_SALT_RSS.fits,Object,,[TNS Source Group: DLT40; Classifier/s: Saurabh Jha...],upload-TNS,2018/6/25,upload-TNS,1,0
45836,SN2018cqi,SN II,,Lick 3m - KAST,2018/6/18,"D. O. Jones, C. Rojas-Bravo",2018/6/18,"G. Dimitriadis, Y. -C. Pan",1645,0,Y,tns_2018cqi_2018-06-18_07-01-05_Lick_3m_KAST.dat,Object,,"[TNS Source Group: ASAS-SN; Classifier/s: D. O. Jones, C. Roja...]",upload-TNS,2018/6/20,upload-TNS,1,0
45809,SN2018ccb,SN II,,LT - SPRAT,2018/6/2,S. Prentice,2018/6/2,,600,0,Y,tns_2018ccb_2018-06-02_00-06-03_LT_SPRAT.txt,Object,,"[TNS Source Group: ZTF; Classifier/s: S. Prentice, P. Clar...]",upload-TNS,2018/6/7,upload-TNS,1,0
45792,SN2018cbb,SN II,,LT - SPRAT,2018/5/28,S Prentice,2018/5/28,,1200,0,Y,tns_2018cbb_2018-05-28_23-45-20_LT_SPRAT.txt,Object,,[TNS Source Group: Pan-STARRS1; Classifier/s: Simon Prentice...],upload-TNS,2018/6/2,upload-TNS,1,0
45759,SN2018bui,SN II,ePESSTO,ESO-NTT - EFOSC2-NTT,2018/5/23,"P. Clark, O. McBrien",2018/5/23,E. Kankare,900,1,Y,tAT2018bui_20180522_Gr13_Free_slit1.0_1_f.asci  tAT2018bui_20180522_Gr13_Free_slit1.0_1_f.fits,Object,Rapid,,nikola-UploadSet,2018/5/23,nikola-UploadSet,1,0
45760,SN2018bwd,SN II,ePESSTO,ESO-NTT - EFOSC2-NTT,2018/5/23,"P. Clark, O. McBrien",2018/5/23,E. Kankare,600,1,Y,tAT2018bwd_20180522_Gr13_Free_slit1.0_1_f.asci  tAT2018bwd_20180522_Gr13_Free_slit1.0_1_f.fits,Object,Rapid,,nikola-UploadSet,2018/5/23,nikola-UploadSet,1,0
45737,SN2018bsz,SN II,ePESSTO,ESO-NTT - EFOSC2-NTT,2018/5/21,"P. Clark, O. McBrien",2018/5/21,M. Magee,900,1,Y,tAT2018bsz_20180520_Gr13_Free_slit1.0_1_f.asci  tAT2018bsz_20180520_Gr13_Free_slit1.0_1_f.fits,Object,Rapid,,nikola-UploadSet,2018/5/21,nikola-UploadSet,1,0
45731,SN2018bsz,SN II,,FTN - FLOYDS-N,2018/5/20,Las Cumbres Observatory,2018/5/20,Daichi Hiramatsu,2700,0,Y,tns_2018bsz_2018-05-20_11-30-37_FTN_FLOYDS-N_Global_SN_Project.ascii  tns_2018bsz_2018-05-20_11-30-37_FTN_FLOYDS-N_Global_SN_Project.fits,Object,,"[TNS Source Group: ASAS-SN; Classifier/s: Daichi Hiramatsu, Ia...] Using Superfit (Howell et al. 2005, ApJ, 634, 1190) and SNID (Blondin & Tonry 2007, ApJ, 666, 1024), we find good fits to several young Type II supernovae around the redshift of the proposed host galaxy (z=0.026665; 6dF DR4, via NED).",upload-TNS,2018/5/21,upload-TNS,1,0
Due to the data size, only 10 items are given here. 
