Id,Obj. Name,Type,Spec.Program,Instrument,Obs. Date,Observer,Red. Date,Reducer,Exp.Time,Slit,Public,Ascii FileFits File,Spec Type,Quality,Remarks,Created By,LastModified,Modified By,Download,New-Name
41767,SN2016iot,SN IIL,,NOT - ALFOSC,2017/2/23,"C. Gall, J. Telting",2017/2/23,M. Stritzinger,1800,0,Y,tns_2016iot_2017-02-23_05-14-06_NOT_ALFOSC_NUTS.txt  tns_2016iot_2017-02-23_05-14-06_NOT_ALFOSC_NUTS.fits,Object,,[TNS Source Group: GaiaAlerts; Classifier/s: Christa Gall...],upload-TNS,2017/2/23,upload-TNS,1,0
30103,SN2014G,SN IIL,,GTC - OSIRIS,2014/12/20,SA,2014/12/20,Terreran,1800,1,Y,2014G_20141220_GTC_OSIRIS_p.dat  2014G_20141220_GTC_OSIRIS_p.fits,Object,,"[Data obtained from:Terreran, G.]",ilanm-UploadSet,2016/8/10,ilanm,1,0
30102,SN2014G,SN IIL,,TNG - DOLORES,2014/7/18,Unknown,2014/7/18,Terreran,2700,1,Y,2014G_20140718_Dolores_R_p.dat  2014G_20140718_Dolores_R_p.fits,Object,,"[Data obtained from:Terreran, G.]",ilanm-UploadSet,2016/8/10,ilanm,1,0
30101,SN2014G,SN IIL,,TNG - DOLORES,2014/5/29,Unknown,2014/5/29,Terreran,2700,1,Y,2014G_20140529_TNG_LRS_p.dat  2014G_20140529_TNG_LRS_p.fits,Object,,"[Data obtained from:Terreran, G.]",ilanm-UploadSet,2016/8/10,ilanm,1,0
30100,SN2014G,SN IIL,,TNG - DOLORES,2014/5/11,Unknown,2014/5/11,Terreran,2700,1,Y,2014G_20140511_Dolores_B_p.dat  2014G_20140511_Dolores_B_p.fits,Object,,"[Data obtained from:Terreran, G.]",ilanm-UploadSet,2016/8/10,ilanm,1,0
30099,SN2014G,SN IIL,,Ekar - AFOSC,2014/4/25,Axl Rose,2014/4/25,Terreran,2700,1.3,Y,2014G_20140425_ALFOSC_gm4_p.dat  2014G_20140425_ALFOSC_gm4_p.fits,Object,,"[Data obtained from:Terreran, G.]",ilanm-UploadSet,2016/8/10,ilanm,1,0
30098,SN2014G,SN IIL,,Ekar - AFOSC,2014/4/7,Ochner Tartaglia Tomasella,2014/4/7,Terreran,2700,1.69,Y,2014G_20140407_AFOSC_GR04+VPH6_p.dat  2014G_20140407_AFOSC_GR04+VPH6_p.fits,Object,,"[Data obtained from:Terreran, G.]",ilanm-UploadSet,2016/8/10,ilanm,0,0
30097,SN2014G,SN IIL,,Ekar - AFOSC,2014/3/30,Terreran Tomasella,2014/3/30,Terreran,2400,1.69,Y,2014G_20140330_AFOSC_GR04+VPH6_p.dat  2014G_20140330_AFOSC_GR04+VPH6_p.fits,Object,,"[Data obtained from:Terreran, G.]",ilanm-UploadSet,2016/8/10,ilanm,0,0
30096,SN2014G,SN IIL,,Galileo - B&C-Asi-1.22m,2014/3/17,Ochner,2014/3/17,Terreran,1800,200,Y,2014G_20140317_P122_BC_300tr_p.dat  2014G_20140317_P122_BC_300tr_p.fits,Object,,"[Data obtained from:Terreran, G.]",ilanm-UploadSet,2016/8/10,ilanm,1,0
30095,SN2014G,SN IIL,,Ekar - AFOSC,2014/3/10,Tomasella,2014/3/10,Terreran,1800,1.69,Y,2014G_20140310_AFOSC_gr4_p.dat  2014G_20140310_AFOSC_gr4_p.fits,Object,,"[Data obtained from:Terreran, G.]",ilanm-UploadSet,2016/8/10,ilanm,1,0
Due to the data size, only 10 items are given here. 
