Id,Obj. Name,Type,Spec.Program,Instrument,Obs. Date,Observer,Red. Date,Reducer,Exp.Time,Slit,Public,Ascii FileFits File,Spec Type,Quality,Remarks,Created By,LastModified,Modified By,Download,New-Name
45823,SN2018cho,SN IIP,,P60 - SED-Machine,2018-06-13,SEDmRobot,2018-06-13,Anna Ho.,1800.0,0.0,Y,tns_2018cho_2018-06-13_10-08-13_P60_SED-Machine_ZTF.txt,Object,,"[TNS Source Group: GaiaAlerts; Classifier/s: Y. Sharma, D. Neill,...]",upload-TNS,2018-06-15,upload-TNS,1,0
45824,SN2018cgq,SN IIP,,P60 - SED-Machine,2018-06-07,SEDmRobot,2018-06-07,Don Neill,1800.0,0.0,Y,tns_2018cgq_2018-06-07_10-39-39_P60_SED-Machine_ZTF.txt,Object,,"[TNS Source Group: GaiaAlerts; Classifier/s: Y. Sharma, D. Neill,...]",upload-TNS,2018-06-15,upload-TNS,1,0
45519,SN2018ass,SN IIP,,LCO-duPont - WFCCD,2018-04-19,Tom Holoien,2018-04-19,Subhash Bose,0.0,0.0,Y,tns_2018ass_2018-04-19_08-25-28_LCO-duPont_WFCCD_ASAS-SN.txt  tns_2018ass_2018-04-19_08-25-28_LCO-duPont_WFCCD_ASAS-SN.fits,Object,,"[TNS Source Group: GaiaAlerts; Classifier/s: S. Bose, T. Holoien,...]",upload-TNS,2018-05-14,upload-TNS,1,0
45175,SN2018aql,SN IIP,,Lijiang-2.4m - YFOSC,2018-04-09,Jujia Zhang,2018-04-09,,0.0,0.0,Y,tns_2018aql_2458218.3549_Lijiang-2.4m_YFOSC_TNTS.dat,Object,,"[TNS Source Group: TNTS; Classifier/s: Jujia Zhang, Yuxin X...]",upload-TNS,2018-04-11,upload-TNS,1,0
44975,SN2018ahe,SN IIP,,UH88 - SNIFS,2018-03-18,Tucker/Shappee,2018-03-18,Tucker/Shappee,0.0,0.0,Y,tns_2018ahe_2458195.595_UH88_SNIFS_ASAS-SN.dat,Object,,"[TNS Source Group: SNHunt; Classifier/s: Michael A. Tucker, B...] Spectrum reduced using automated quick reduction with no flux or telluric correction applied.",upload-TNS,2018-03-18,upload-TNS,1,0
44968,SN2018acj,SN IIP,,BAO-2.16m - Cassegrain,2018-03-09,"W. Li(THU), Y. Wang(NAOC)",2018-03-09,H. Lin(THU),3300.0,0.0,Y,tns_2018acj_2458187.2863_BAO-2.16m_Cassegrain.txt,Object,,"[TNS Source Group: XOSS; Classifier/s: H. Lin, W. Li, X. Wa...] This spectrum matches type IIP supernova near maximum",upload-TNS,2018-03-10,upload-TNS,1,0
45346,SN2018acj,SN IIP,,P200 - DBSP,2018-03-08,C. Fremling,2018-03-08,C. Fremling,0.0,0.0,Y,tns_2018acj_2018-03-08.0_P200_DBSP_ZTF.txt,Object,,[TNS Source Group: XOSS; Classifier/s: C. Fremling (Caltech...],upload-TNS,2018-04-25,upload-TNS,1,0
44918,SN2018yo,SN IIP,,Lijiang-2.4m - YFOSC,2018-02-28,Jujia Zhang,2018-02-28,,1800.0,0.0,Y,tns_2018yo_2018-02-28.83_Lijiang-2.4m_YFOSC.dat,Object,,[TNS Source Group: SNHunt; Classifier/s: Jujia Zhang (YNAO) a...],upload-TNS,2018-02-28,upload-TNS,1,0
44824,SN2018rz,SN IIP,,BAO-2.16m - Cassegrain,2018-02-12,"Z. Chen(THU), F. Xiao, H. Wang(NAOC)",2018-02-12,H. Lin(THU),3600.0,0.0,Y,tns_2018rz_2458162.3628_BAO-2.16m_Cassegrain.txt,Object,,"[TNS Source Group: ISSP; Classifier/s: H. Lin, D. Xiang, L....]",upload-TNS,2018-02-13,upload-TNS,1,0
44544,SN2018pi,SN IIP,,P60 - SED-Machine,2018-02-06,Walters/Neill/Blagorodnova,2018-02-06,Neill,3600.0,0.0,Y,tns_2018pi_2018-02-06_11-08-06_P60_SED-Machine_ZTF.txt,Object,,[TNS Source Group: SNHunt; Classifier/s: James Neill...],upload-TNS,2018-02-06,upload-TNS,1,0
Due to the data size, only 10 items are given here. 
