Id,Obj. Name,Type,Spec.Program,Instrument,Obs. Date,Observer,Red. Date,Reducer,Exp.Time,Slit,Public,Ascii FileFits File,Spec Type,Quality,Remarks,Created By,LastModified,Modified By,Download,New-Name
45720,SN2018bsg,SN IIb,ePESSTO,ESO-NTT - EFOSC2-NTT,2018-05-20,Peter Clark,2018-05-20,Stephen Smartt,900.0,1.0,Y,tAT2018bsg_20180519_Gr13_Free_slit1.0_1_f.asci  tAT2018bsg_20180519_Gr13_Free_slit1.0_1_f.fits,Object,Rapid,,nikola-UploadSet,2018-05-20,nikola-UploadSet,1,0
45520,SN2018arx,SN IIb,,LCO-duPont - WFCCD,2018-04-19,Tom Holoien,2018-04-19,Subhash Bose,0.0,0.0,Y,tns_2018arx_2018-04-19_07-36-10_LCO-duPont_WFCCD_ASAS-SN.txt  tns_2018arx_2018-04-19_07-36-10_LCO-duPont_WFCCD_ASAS-SN.fits,Object,,"[TNS Source Group: ASAS-SN; Classifier/s: S. Bose, T. Holoien,...]",upload-TNS,2018-05-14,upload-TNS,1,0
44851,SN2018mc,SN IIb,,NOT - ALFOSC,2018-02-14,John Telting,2018-02-14,Stefano Benetti,1200.0,0.0,Y,tns_2018mc_2018-02-14_06-27-39_NOT_ALFOSC_NUTS.  tns_2018mc_2018-02-14_06-27-39_NOT_ALFOSC_NUTS.fits,Object,,[TNS Source Group: ASAS-SN; Classifier/s: Jussi Harmanen...],upload-TNS,2018-02-16,upload-TNS,1,0
44569,SN2018ow,SN IIb,,Lick 3m - KAST,2018-02-08,C. Rojas-Bravo,2018-02-08,G. Dimitriadis,2460.0,0.0,Y,tns_2018ow_2018-02-08_03-13-18_Lick_3m_KAST.flm,Object,,"[TNS Source Group: Pan-STARRS1; Classifier/s: G. Dimitriadis, Y.-C...]",upload-TNS,2018-02-11,upload-TNS,1,0
44388,SN2018gj,SN IIb,,FTN - FLOYDS-N,2018-01-15,Kilpatrick,2018-01-15,Kilpatrick,480.0,0.0,Y,tns_2018gj_2018-01-15_15-00-08_FTN_FLOYDS-N.flm,Object,,[TNS Source Group: NA; Classifier/s: Charles Kilpatrick...],upload-TNS,2018-01-15,upload-TNS,1,0
44372,SN2018gj,SN IIb,,Other - Other,2018-01-14,Etienne Bertrand,2018-01-14,Etienne Bertrand,4800.0,0.0,Y,tns_2018gj_2458133.2929_Other_Other.dat  tns_2018gj_2458133.2929_Other_Other.fit,Sky,,"[TNS Source Group: NA; Classifier/s: Etienne Bertrand...] 4 x 1200s (Atik 414EX - ccd)  with C8 telescope, Alpy600 spectrograph and ISIS software. (Thanks to Robin Leadbeater)",upload-TNS,2018-01-14,upload-TNS,1,0
44255,SN2017jdn,SN IIb,,BAO-2.16m - Cassegrain,2017-12-27,"F. Xiao, P. Qiu(NAOC)",2017-12-27,H. Lin(THU),3600.0,0.0,Y,tns_2017jdn_2458115.3456_BAO-2.16m_Cassegrain.txt,Object,,"[TNS Source Group: ISSP; Classifier/s: H. Lin, D. Xiang, L....] Cross-correlation with a library of supernova spectra using the ""Supernova Identification"" code (SNID; Blondin and Tonry 2007, Ap.J., 666, 1024) shows that this transient is consistant with type IIb supernova",upload-TNS,2017-12-28,upload-TNS,1,0
44222,SN2017iyd,SN IIb,ePESSTO,ESO-NTT - EFOSC2-NTT,2017-12-26,"C.R. Angus, S. Jones",2017-12-26,"C.R. Angus, S. Jones",900.0,1.0,Y,tAT2017iyd_20171225_Gr13_Free_slit1.0_1_f.asci  tAT2017iyd_20171225_Gr13_Free_slit1.0_1_f.fits,Object,Rapid,[Data obtained from:Rob Firth],ofer-UploadSet,2017-12-26,ofer-UploadSet,1,0
44219,SN2017ixz,SN IIb,,Lick 3m - KAST,2017-12-22,"D. O. Jones, G. Dimitriadis",2017-12-22,Y.-C. Pan,1840.0,0.0,Y,tns_2017ixz_2017-12-22_06-37-01_Lick_3m_KAST.flm,Object,,"[TNS Source Group: ATLAS; Classifier/s: D. O. Jones, G. Dimi...]",upload-TNS,2017-12-23,upload-TNS,1,0
44216,SN2017jbl,SN IIb,,Ekar - AFOSC,2017-12-21,tomasella,2017-12-21,tomasella,2700.0,0.0,Y,tns_2017jbl_2017-12-21_23-13-00_Ekar_AFOSC_Padova-Asiago.dat  tns_2017jbl_2017-12-21_23-13-00_Ekar_AFOSC_Padova-Asiago.fits,Object,,[TNS Source Group: POSS; Classifier/s: Lina Tomasella...],upload-TNS,2017-12-22,upload-TNS,1,0
Due to the data size, only 10 items are given here. 
